Language_ID,cluster3
abi,3
abk,1
aco,3
aeg,3
ain,1
akn,2
ala,1
alb,3
ame,1
amh,1
amp,1
ana,1
anc,2
ani,3
ao,1
apu,1
arc,1
arm,1
arp,2
asm,1
ata,3
awp,1
aym,1
bag,2
bam,1
baw,2
bco,3
bej,1
ber,2
bir,2
bkr,3
bma,3
bre,3
brm,1
bsk,1
bsq,1
bul,3
bur,1
cah,1
car,1
cax,3
cha,3
che,3
chk,1
chq,3
chv,1
cle,3
cmn,1
cnl,1
cnt,3
coo,3
cre,3
cub,1
cyv,3
dag,1
dgr,1
die,1
din,2
dio,2
dni,1
doy,2
dre,3
dyi,3
eng,3
epe,1
eve,1
ewe,2
ewo,2
fij,3
fin,3
fre,3
fur,1
fye,2
gar,1
gbb,2
geo,1
ger,3
goo,3
grb,2
grk,3
grw,1
gua,1
hai,1
ham,1
hau,2
haw,3
hin,1
hix,1
hmo,2
htc,3
hun,3
hup,3
hve,3
hzb,1
iaa,3
iba,2
igb,2
ijo,1
ik,3
ika,1
imo,1
ind,2
ing,1
irq,1
jak,3
jng,1
jpn,1
juh,2
kas,1
kay,1
kch,2
ker,2
ket,1
kew,1
kfe,2
kha,1
khm,2
kho,1
khs,2
kio,1
kkv,2
klm,3
klv,3
kmu,2
knd,1
knk,2
knm,1
knr,1
koa,1
kob,1
kor,1
krb,3
krd,1
krk,1
kro,3
kse,1
ksg,2
kty,1
kut,3
kwo,1
kws,3
kyl,2
lad,1
lah,1
lan,2
lat,3
lav,1
len,2
lep,1
lez,1
lit,3
lkt,1
lug,2
luo,2
luv,2
maa,3
mab,1
mak,3
mal,3
mao,3
map,1
mar,1
mau,3
may,2
mei,1
mgg,1
mku,1
mnd,3
mne,1
mrg,2
mrl,3
mro,2
mrt,3
mss,3
mum,2
mun,1
mxc,3
myi,3
nas,1
nav,1
ndy,2
new,1
nez,3
ngi,3
ngz,2
nht,3
niv,1
nko,2
non,2
nor,3
nti,3
ntu,1
nug,3
nun,2
ond,3
ood,3
orh,1
otm,3
pai,3
pau,1
pms,2
poh,2
pol,3
prh,1
prs,1
psh,1
pso,1
pur,3
qui,3
ram,1
rap,3
res,1
rom,3
ruk,3
rus,3
san,2
sdw,1
shk,1
sla,1
sml,3
snm,1
snt,1
som,1
spa,3
squ,3
sue,1
sup,1
svs,1
swa,2
tab,2
tag,3
tam,1
tel,1
ter,2
tgk,2
tgr,1
tha,2
tiw,3
tli,1
tne,2
ton,1
tru,3
tsi,3
ttn,2
ttu,1
tuk,3
tun,1
tur,1
tuv,1
una,1
ung,3
urk,1
usa,1
vie,2
wah,1
wao,1
wap,1
war,3
wch,3
wic,3
wiy,3
wlf,2
wma,2
wra,1
wrd,3
yag,3
yap,3
yaq,1
yar,1
ygr,1
yid,1
yim,1
yko,1
yor,2
yuc,1
yur,3
zan,2
zqc,1
zul,2
zun,1
